source,scenario,phase,row_kind,category,bucket_tokens,decode_batch,latency_ms,sample_count,peer_phase,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,provenance,valid_for_default,default_readiness
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,384,52,104.11164855957031,4,any_peer,104.11164855957031,104.11369323730469,104.10899353027344,104.11369323730469,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,385,52,104.00788497924805,4,any_peer,104.00788497924805,104.0083236694336,104.00348663330078,104.0083236694336,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,435,53,108.74671936035156,8,any_peer,108.74671936035156,108.7922592163086,108.6935043334961,108.79657745361328,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,451,51,111.28800201416016,4,any_peer,111.28800201416016,111.28921508789062,111.28594970703125,111.28921508789062,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,452,51,111.22017669677734,4,any_peer,111.22017669677734,111.22137451171875,111.21910095214844,111.22137451171875,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,526,50,130.65127563476562,4,any_peer,130.65127563476562,130.6527099609375,130.65081787109375,130.6527099609375,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,527,50,130.55475616455078,4,any_peer,130.55475616455078,130.55850219726562,130.55258178710938,130.55850219726562,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,574,52,130.5850372314453,8,any_peer,130.5850372314453,130.740966796875,130.42764282226562,130.74143981933594,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,621,49,148.76876831054688,4,any_peer,148.76876831054688,148.7845458984375,148.762939453125,148.7845458984375,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
phase446_b2b_ingest,K2.5-tp4ep8dp2-8k2k,mixed_prefill,forward_total,forward_total,622,49,148.5165023803711,4,any_peer,148.5165023803711,148.51895141601562,148.43545532226562,148.51895141601562,phase446_b2b_event_step_bucket_peer_tagged,False,No-Go
