source,scenario,phase,category,bucket_tokens,decode_batch,hit,miss_reason,bucket_min,bucket_max,decode_batch_min,decode_batch_max,count
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,4,4,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,5,5,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,6,6,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,7,7,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,8,8,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,9,9,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,10,10,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,11,11,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,12,12,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,13,13,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,14,14,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,15,15,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,16,16,true,hit,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,17,17,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,18,18,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,19,19,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,20,20,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,21,21,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,22,22,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,23,23,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,24,24,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,25,25,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,26,26,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,27,27,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,28,28,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,29,29,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,30,30,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,31,31,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,32,32,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,33,33,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,34,34,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,35,35,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,36,36,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,37,37,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,38,38,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,39,39,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,40,40,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,41,41,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,42,42,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,43,43,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,44,44,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,45,45,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,46,46,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,47,47,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,48,48,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,49,49,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,50,50,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,51,51,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,52,52,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,53,53,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,54,54,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,55,55,false,interpolation_gap,2,64,2,64,1
phase436_serving_state_grid,K2.5-tp4ep8dp2-8k2k,decode,moe_gemm_or_aux,56,56,false,interpolation_gap,2,64,2,64,1
