source,row_type,scenario,artifact_dir,phase,row_kind,category,bucket_tokens,decode_batch,step_count,latency_ms,elapsed_ms_mean,attention_ms_mean,baseline_value,candidate_value,reconstruction_error_pct,reconstruction_gate,coverage_gate,metric,value,note,gpu_allowed,ssh_allowed,runtime_modified,perf_database,valid_for_default,diagnostic_only,default_readiness
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,39,2,1088.124085,1130.475000,42.350915,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,40,2,1083.731687,1126.280000,42.548313,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,41,102,1088.463603,1131.209314,42.745711,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,42,142,1085.511348,1128.282606,42.771258,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,43,74,1085.421264,1127.771486,42.350222,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,44,12,1083.515429,1126.853333,43.337905,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,45,11,1084.810152,1128.345455,43.535303,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,46,10,1087.799299,1131.532000,43.732701,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,47,10,1015.410901,1059.341000,43.930099,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
phase440_nonattn_total,non_attn_total_curve,K2.5-tp4ep8dp2-8k2k,docs/iter_gap_investigation/phase425_8k2k_sweep/K2.5-tp4ep8dp2-8k2k,mixed_prefill,non_attn_total,non_attn_total,8000,48,9,1016.089170,1060.216667,44.127497,,,,,below_target_working_point,,,derived_from_iteration_elapsed_minus_sim_attention,false,false,true,true,false,false,No-Go
