scenario,section,dp_rank,phase_pair,bucket_tokens,decode_batch,count,busy_p50_ms,busy_p90_ms,decode_run_count,decode_run_max,decode_run_p50,decode_run_p90,decode_steps,metric,mixed_frequency,mixed_steps,share,target_high,target_low,tolerance,total_steps,wave_decode_batch_p50,wave_end_step,wave_mixed_steps,wave_prefill_tokens,wave_span_steps,wave_start_step
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,900,46,4,183.03636932373047,183.0382080078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,1027,50,4,155.3490447998047,155.36880493164062,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,1588,47,4,246.84801483154297,246.85130310058594,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,1597,56,4,280.71864318847656,280.7199401855469,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,1600,47,4,249.41038513183594,249.4121551513672,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,1803,46,4,273.2806701660156,273.2945556640625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,2017,44,4,232.56475067138672,232.56959533691406,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,2018,45,4,287.30921936035156,287.31500244140625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,2401,55,4,386.74671936035156,386.75115966796875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,3309,54,4,507.3519287109375,507.3570556640625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,3495,46,4,474.01673889160156,474.0217590332031,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,3566,55,4,546.73681640625,546.7520141601562,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,6245,43,4,884.2842712402344,884.2861938476562,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,1,8,1105.923095703125,1107.1527099609375,,,,,,,,,0.002898550724637681,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,2,4,1104.0739135742188,1104.0950927734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,3,4,1104.6900024414062,1104.6978759765625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,4,4,1106.4555053710938,1106.4676513671875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,5,4,1107.3955078125,1107.4300537109375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,6,4,1108.1456909179688,1108.1788330078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,7,4,1108.4099731445312,1108.447265625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,8,4,1107.624755859375,1107.658935546875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,9,4,1111.3084716796875,1111.31298828125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,10,4,1108.43359375,1108.4766845703125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,11,4,1108.4511108398438,1108.4942626953125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,12,4,1112.842529296875,1112.8603515625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,13,4,1113.2385864257812,1113.276123046875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,14,4,1113.6921997070312,1113.72802734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,15,4,1113.1954956054688,1113.236572265625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,16,4,1116.6708374023438,1116.703857421875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,17,4,1116.4601440429688,1116.4981689453125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,18,4,1119.1536254882812,1119.190673828125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,19,4,1114.2312622070312,1114.271240234375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,20,4,1120.9036254882812,1120.94677734375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,21,4,1121.0438842773438,1121.0703125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,22,4,1122.0625610351562,1122.069580078125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,23,4,1125.2172241210938,1125.2432861328125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,24,4,1122.3050537109375,1122.341796875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,25,4,1126.7298583984375,1126.751220703125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,26,4,1121.842041015625,1121.8662109375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,27,4,1124.53955078125,1124.574951171875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,28,4,1122.4539184570312,1122.50390625,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,29,4,1122.8800659179688,1122.9171142578125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,30,4,1133.76708984375,1133.8070068359375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,31,4,1133.5567016601562,1133.5955810546875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,32,4,1133.4033203125,1133.4373779296875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,33,4,1123.2665405273438,1123.3021240234375,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,34,4,1127.4592895507812,1127.49169921875,,,,,,,,,0.0014492753623188406,,,,,,,,,,
K2.5-tp4ep8dp2-8k2k,mixed_distribution,1,,8000,35,4,1125.4057006835938,1125.409423828125,,,,,,,,,0.0014492753623188406,,,,,,,,,,
