alignment_key,alignment_key_type,dp_rank,scenario,phase,topology_key,cb_engine_step_id,cb_iter_index,cb_scheduled_context_tokens,cb_scheduled_decode_tokens,cb_scheduled_total_tokens,cb_scheduled_context_reqs,cb_scheduled_decode_reqs,cb_scheduled_total_reqs,cb_forward_token_count,cb_forward_regime,cb_cudagraph_runtime_mode,vllm_engine_step_id,vllm_iter_index,vllm_scheduled_context_tokens,vllm_scheduled_decode_tokens,vllm_scheduled_total_tokens,vllm_scheduled_context_reqs,vllm_scheduled_decode_reqs,vllm_scheduled_total_reqs,vllm_forward_token_count,vllm_forward_regime,vllm_cudagraph_runtime_mode,scheduled_context_token_delta,scheduled_decode_token_delta,scheduled_total_token_delta,scheduled_context_req_delta,scheduled_decode_req_delta,scheduled_total_req_delta,forward_token_delta,same_phase,same_topology_key,same_scheduled_total_tokens,same_scheduled_total_reqs,same_forward_token_count,same_forward_regime,same_cudagraph_runtime_mode,valid_for_default,perf_database,diagnostic_only
engine_dp:0:step:67,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,67,67,0,8,8,0,8,8,8,FULL:8,FULL,67,67,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:68,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,68,68,0,8,8,0,8,8,8,FULL:8,FULL,68,68,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:69,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,69,69,0,8,8,0,8,8,8,FULL:8,FULL,69,69,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:70,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,70,70,0,8,8,0,8,8,8,FULL:8,FULL,70,70,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:71,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,71,71,0,8,8,0,8,8,8,FULL:8,FULL,71,71,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:72,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,72,72,0,8,8,0,8,8,8,FULL:8,FULL,72,72,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:73,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,73,73,0,8,8,0,8,8,8,FULL:8,FULL,73,73,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:74,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,74,74,0,8,8,0,8,8,8,FULL:8,FULL,74,74,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:75,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,75,75,0,8,8,0,8,8,8,FULL:8,FULL,75,75,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
engine_dp:0:step:76,engine_core_dp_step,0,32000x1000_b16,pure_decode,tp4dp2moetp1ep8,76,76,0,8,8,0,8,8,8,FULL:8,FULL,76,76,0,8,8,0,8,8,8,FULL:8,FULL,0,0,0,0,0,0,0,1,1,1,1,1,1,1,False,False,True
